year	leaf_num	num_leaves	pos	width	stipples	eggs	temp	light	batch	batch_2015	room	cage	side	source	temp_c
2015	NA	NA	NA	29	0	0	warm	dark	1	1	1	2	2	Shade	22.39130435
2015	NA	NA	NA	30	6	0	warm	dark	1	1	1	2	2	Shade	22.39130435
2015	NA	NA	NA	24	0	0	warm	dark	1	1	1	2	2	Shade	22.39130435
2015	NA	NA	NA	33	11	0	warm	dark	1	1	1	2	2	Shade	22.39130435
2015	NA	NA	NA	33	0	0	cool	light	1	2	2	1	1	Sun	19.96348315
2015	NA	NA	NA	18	0	0	cool	light	1	2	2	1	1	Sun	19.96348315
2015	NA	NA	NA	24	0	1	cool	light	1	2	2	1	1	Sun	19.96348315
2015	NA	NA	NA	30	0	0	cool	light	1	2	2	1	1	Sun	19.96348315
2015	NA	NA	NA	30	5	0	cool	light	1	2	2	1	1	Sun	19.96348315
2015	NA	NA	NA	36	3	0	cool	light	1	2	2	1	1	Shade	19.96348315
2015	NA	NA	NA	32	5	0	cool	light	1	2	2	1	1	Shade	19.96348315
2015	NA	NA	NA	48	13	1	cool	light	1	2	2	1	1	Shade	19.96348315
2015	NA	NA	NA	33	48	0	cool	light	1	2	2	1	1	Shade	19.96348315
2015	NA	NA	NA	29	3	1	cool	light	1	2	2	1	1	Shade	19.96348315
2015	NA	NA	NA	31	0	0	cool	dark	1	2	2	1	2	Sun	19.94934334
2015	NA	NA	NA	22	10	0	cool	dark	1	2	2	1	2	Sun	19.94934334
2015	NA	NA	NA	26	0	0	cool	dark	1	2	2	1	2	Sun	19.94934334
2015	NA	NA	NA	25	0	0	cool	dark	1	2	2	1	2	Sun	19.94934334
2015	NA	NA	NA	36	0	0	cool	dark	1	2	2	1	2	Sun	19.94934334
2015	NA	NA	NA	38	0	0	cool	dark	1	2	2	1	2	Shade	19.94934334
2015	NA	NA	NA	41	0	0	cool	dark	1	2	2	1	2	Shade	19.94934334
2015	NA	NA	NA	24	0	0	cool	dark	1	2	2	1	2	Shade	19.94934334
2015	NA	NA	NA	31	0	0	cool	dark	1	2	2	1	2	Shade	19.94934334
2015	NA	NA	NA	32	0	0	cool	dark	1	2	2	1	2	Shade	19.94934334
2015	NA	NA	NA	37	2	1	cool	light	1	2	2	2	1	Sun	19.96348315
2015	NA	NA	NA	32	1	0	cool	light	1	2	2	2	1	Sun	19.96348315
2015	NA	NA	NA	22	26	1	cool	light	1	2	2	2	1	Sun	19.96348315
2015	NA	NA	NA	28	1	0	cool	light	1	2	2	2	1	Sun	19.96348315
2015	NA	NA	NA	26	1	1	cool	light	1	2	2	2	1	Sun	19.96348315
2015	NA	NA	NA	30	0	0	cool	light	1	2	2	2	1	Shade	19.96348315
2015	NA	NA	NA	36	0	0	cool	light	1	2	2	2	1	Shade	19.96348315
2015	NA	NA	NA	30	4	0	cool	light	1	2	2	2	1	Shade	19.96348315
2015	NA	NA	NA	33	4	0	cool	light	1	2	2	2	1	Shade	19.96348315
2015	NA	NA	NA	25	0	0	cool	dark	1	2	2	2	2	Sun	19.94934334
2015	NA	NA	NA	30	0	0	cool	dark	1	2	2	2	2	Sun	19.94934334
2015	NA	NA	NA	23	0	0	cool	dark	1	2	2	2	2	Sun	19.94934334
2015	NA	NA	NA	28	0	0	cool	dark	1	2	2	2	2	Sun	19.94934334
2015	NA	NA	NA	21	0	0	cool	dark	1	2	2	2	2	Sun	19.94934334
2015	NA	NA	NA	32	0	0	cool	dark	1	2	2	2	2	Shade	19.94934334
2015	NA	NA	NA	45	0	0	cool	dark	1	2	2	2	2	Shade	19.94934334
2015	NA	NA	NA	41	0	0	cool	dark	1	2	2	2	2	Shade	19.94934334
2015	NA	NA	NA	32	0	0	cool	dark	1	2	2	2	2	Shade	19.94934334
2015	NA	NA	NA	24	0	0	cool	dark	1	2	2	2	2	Shade	19.94934334
2015	NA	NA	NA	28	0	1	warm	light	2	3	1	1	1	Sun	25.49460432
2015	NA	NA	NA	30	0	2	warm	light	2	3	1	1	1	Sun	25.49460432
2015	NA	NA	NA	26	0	0	warm	light	2	3	1	1	1	Sun	25.49460432
2015	NA	NA	NA	26	0	0	warm	light	2	3	1	1	1	Sun	25.49460432
2015	NA	NA	NA	22	3	3	warm	light	2	3	1	1	1	Sun	25.49460432
2015	NA	NA	NA	37	0	3	warm	light	2	3	1	1	1	Shade	25.49460432
2015	NA	NA	NA	24	0	0	warm	light	2	3	1	1	1	Shade	25.49460432
2015	NA	NA	NA	31	0	2	warm	light	2	3	1	1	1	Shade	25.49460432
2015	NA	NA	NA	26	0	1	warm	light	2	3	1	1	1	Shade	25.49460432
2015	NA	NA	NA	24	0	1	warm	light	2	3	1	1	1	Shade	25.49460432
2015	NA	NA	NA	33	0	0	warm	dark	2	3	1	1	2	Sun	25.27669039
2015	NA	NA	NA	25	0	0	warm	dark	2	3	1	1	2	Sun	25.27669039
2015	NA	NA	NA	32	0	0	warm	dark	2	3	1	1	2	Sun	25.27669039
